date,price
2023-01-01,30000.00
2023-01-02,31000.00
2023-01-03,32000.00
2023-01-04,33000.00
2023-01-05,34000.00
2023-01-06,35000.00
2023-01-07,36000.00
2023-01-08,37000.00
2023-01-09,38000.00
2023-01-10,39000.00
2023-01-11,40000.00
2023-01-12,41000.00
2023-01-13,42000.00
2023-01-14,43000.00
2023-01-15,44000.00
2023-01-16,45000.00
2023-01-17,46000.00
2023-01-18,47000.00
2023-01-19,48000.00
2023-01-20,49000.00
2023-01-21,50000.00
2023-01-22,51000.00
2023-01-23,52000.00
2023-01-24,53000.00
2023-01-25,54000.00
2023-01-26,55000.00
2023-01-27,56000.00
2023-01-28,57000.00
2023-01-29,58000.00
2023-01-30,59000.00
2023-01-31,60000.00
